     n | classical log2     rate    L0 |  one-row log2     rate      (k,L) |  two-row log2     rate      (k,I,J) |  gain row  gain two
    24 |         19.263  0.80263     4 |        19.774  0.82393     (1, 7) |        19.290  0.80376    (3, 5, 3) |    -0.511    -0.027   [0s]
    32 |         23.489  0.73403     5 |        24.413  0.76292     (1, 8) |        23.795  0.74358    (1, 5, 1) |    -0.924    -0.306   [0s]
    48 |         31.898  0.66455     7 |        32.436  0.67575     (1, 9) |        31.907  0.66474    (1, 7, 1) |    -0.538    -0.009   [1s]
    64 |         40.478  0.63247     9 |        40.566  0.63384    (1, 11) |        40.349  0.63045    (4, 9, 4) |    -0.088    +0.130   [1s]
    96 |         55.853  0.58180    12 |        55.782  0.58106    (1, 14) |        55.743  0.58066   (4, 12, 4) |    +0.071    +0.110   [2s]
   128 |         70.875  0.55371    15 |        70.594  0.55151    (1, 17) |        70.755  0.55278   (4, 15, 4) |    +0.281    +0.119   [3s]
   192 |         99.002  0.51564    20 |        99.732  0.51944    (2, 25) |        99.051  0.51589   (1, 20, 1) |    -0.729    -0.049   [5s]
   256 |        127.618  0.49851    26 |       126.998  0.49609    (1, 28) |       127.580  0.49836   (4, 26, 4) |    +0.619    +0.037   [7s]
