delta = 1/10 = 0.100000
      n      d |   k=0 log2     rate     L0 |  k>=1 log2     rate     k      L | gain(bits)
     20      2 |     19.720  0.98602      9 |     20.007  1.00036     1     19 |     -0.287   [0s]
     30      3 |     28.449  0.94831     11 |     26.631  0.88770     1     27 |      1.818   [0s]
     40      4 |     36.799  0.91997     13 |     34.760  0.86900     2     31 |      2.039   [0s]
     50      5 |     45.015  0.90030     15 |     41.920  0.83841     2     33 |      3.095   [0s]
     60      6 |     53.153  0.88588     18 |     50.216  0.83693     3     35 |      2.937   [0s]
     80      8 |     68.892  0.86115     22 |     65.231  0.81539     3     37 |      3.661   [0s]
    100     10 |     84.685  0.84685     27 |     81.054  0.81054     3     40 |      3.631   [0s]
    150     15 |    123.116  0.82078     37 |    118.499  0.78999     4     53 |      4.618   [0s]
    200     20 |    160.912  0.80456     48 |    155.996  0.77998     4     63 |      4.916   [0s]
    300     30 |    236.120  0.78707     69 |    230.970  0.76990     4     83 |      5.150   [0s]
    500     50 |    384.547  0.76909    111 |    378.338  0.75668     3    122 |      6.209   [0s]
   1000    100 |    752.316  0.75232    214 |    737.736  0.73774     7    238 |     14.580   [0s]
   2000    200 |   1482.607  0.74130    418 |   1451.609  0.72580    15    469 |     30.999   [0s]
   5000    500 |   3662.757  0.73255   1025 |   3588.406  0.71768    33   1137 |     74.351   [1s]
  10000   1000 |   7286.575  0.72866   2032 |   7140.251  0.71403    63   2245 |    146.324   [3s]

first n in the scan where k>=1 beats k=0: 30
