delta = 4/13 = 0.307692
      n      d |   k=0 log2     rate     L0 |  k>=1 log2     rate     k      L | gain(bits)
     26      8 |     14.870  0.57192      3 |     15.023  0.57782     4     15 |     -0.153   [0s]
     39     12 |     19.854  0.50908      4 |     20.245  0.51910     1      6 |     -0.391   [0s]
     52     16 |     24.755  0.47605      5 |     25.037  0.48147     1      7 |     -0.282   [0s]
     78     24 |     32.442  0.41593      6 |     32.960  0.42256     1      8 |     -0.517   [0s]
    104     32 |     40.030  0.38490      7 |     40.794  0.39225     1      9 |     -0.765   [0s]
    130     40 |     48.524  0.37326      8 |     48.985  0.37681     1     11 |     -0.461   [0s]
    195     60 |     66.928  0.34322     12 |     67.055  0.34387     1     14 |     -0.127   [0s]
    260     80 |     84.040  0.32323     14 |     84.715  0.32583     1     17 |     -0.675   [0s]
    390    120 |    117.562  0.30144     20 |    117.773  0.30198     1     22 |     -0.211   [0s]
    468    144 |    139.069  0.29716     24 |    138.670  0.29630     1     26 |      0.400   [0s]
    520    160 |    151.828  0.29198     26 |    151.427  0.29121     1     28 |      0.401   [0s]
    585    180 |    168.358  0.28779     28 |    168.492  0.28802     1     31 |     -0.134   [0s]
    650    200 |    184.013  0.28310     31 |    183.943  0.28299     1     33 |      0.070   [0s]
    715    220 |    200.787  0.28082     34 |    200.222  0.28003     1     36 |      0.565   [0s]
    780    240 |    217.844  0.27929     37 |    217.032  0.27825     2     41 |      0.812   [0s]
    845    260 |    233.020  0.27576     39 |    233.314  0.27611     1     41 |     -0.294   [0s]
    910    280 |    249.425  0.27409     42 |    248.702  0.27330     1     44 |      0.723   [0s]
   1040    320 |    281.571  0.27074     47 |    281.999  0.27115     2     52 |     -0.428   [0s]
   1105    340 |    297.811  0.26951     50 |    296.891  0.26868     2     54 |      0.920   [0s]
   1170    360 |    314.697  0.26897     53 |    313.178  0.26767     2     57 |      1.519   [0s]
   1235    380 |    329.701  0.26696     55 |    329.607  0.26689     1     57 |      0.094   [0s]
   1300    400 |    346.015  0.26617     58 |    344.676  0.26514     2     62 |      1.339   [0s]
   1430    440 |    377.610  0.26406     63 |    376.883  0.26355     1     65 |      0.727   [0s]
   1560    480 |    410.501  0.26314     68 |    408.681  0.26198     3     75 |      1.820   [0s]
   1690    520 |    442.151  0.26163     74 |    439.835  0.26026     3     80 |      2.316   [0s]
   1950    600 |    504.682  0.25881     84 |    503.483  0.25820     1     86 |      1.199   [0s]
   2600    800 |    662.426  0.25478    110 |    660.326  0.25397     5    121 |      2.100   [0s]
   3900   1200 |    976.694  0.25043    162 |    971.347  0.24906     4    170 |      5.346   [1s]
   6500   2000 |   1601.652  0.24641    265 |   1589.744  0.24458     9    283 |     11.907   [1s]
   9750   3000 |   2373.237  0.24341    391 |   2359.329  0.24198    15    423 |     13.908   [1s]
  13000   4000 |   3146.257  0.24202    518 |   3126.749  0.24052    17    554 |     19.508   [2s]
  19500   6000 |   4688.740  0.24045    771 |   4658.034  0.23887    27    828 |     30.705   [3s]
  26000   8000 |   6227.309  0.23951   1023 |   6186.995  0.23796    41   1110 |     40.315   [5s]

first n in the scan where k>=1 beats k=0: 468
